row,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
0,353165930,100,200,co2#1,1,23.7,207.3,14.5,0,0,1,1,,,-,0,0,0,N,,,13:01.6,,,,
1,353165939,100,200,co2#1,1,18.7,201.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:02.1,,,,
2,353165946,100,200,co2#1,1,18.5,217.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:02.7,,,,
3,353165952,100,200,co2#1,1,18.4,207.3,14.5,0,0,1,1,,,-,0,0,0,N,,,13:03.2,,,,
4,353165959,100,200,co2#1,1,18.2,210.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:03.7,,,,
5,353165960,100,200,co2#1,1,18.2,210.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:03.7,,,,
6,353165966,100,200,co2#1,1,18.2,210.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:04.2,,,,
7,353165987,100,200,co2#1,1,20.5,240.7,14.7,0,0,1,1,,,-,0,0,0,N,,,13:05.7,,,,
8,353165995,100,200,co2#1,1,20.5,240.7,14.7,0,0,1,1,,,-,0,0,0,N,,,13:06.3,,,,
9,353166005,100,200,co2#1,1,20.5,240.7,14.7,0,0,1,1,,,-,0,0,0,N,,,13:06.8,,,,
10,353166012,100,200,co2#1,1,16.1,246.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:07.3,,,,
11,353166021,100,200,co2#1,1,17.5,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:07.8,,,,
12,353166022,100,200,co2#1,1,17.8,245.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:07.8,,,,
13,353166029,100,200,co2#1,1,17.8,243.6,14.5,0,0,1,1,,,-,0,0,0,N,,,13:08.3,,,,
14,353166036,100,200,co2#1,1,17.9,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:08.9,,,,
15,353166043,100,200,co2#1,1,17.9,243.6,14.5,0,0,1,1,,,-,0,0,0,N,,,13:09.4,,,,
16,353166052,100,200,co2#1,1,17.9,257.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:09.9,,,,
17,353166075,100,200,co2#1,1,17.1,257.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:11.4,,,,
18,353166082,100,200,co2#1,1,16.8,258.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:11.9,,,,
19,353166090,100,200,co2#1,1,16.9,248.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:12.5,,,,
20,353166091,100,200,co2#1,1,17.2,251.3,14.5,0,0,1,1,,,-,0,0,0,N,,,13:12.5,,,,
21,353166096,100,200,co2#1,1,18.5,254.2,14.4,0,0,1,1,,,-,0,0,0,N,,,13:13.0,,,,
22,353166101,100,200,co2#1,1,17.3,265.4,14.4,0,0,1,1,,,-,0,0,0,N,,,13:13.5,,,,
23,353166108,100,200,co2#1,1,16.7,256.7,14.4,0,0,1,1,,,-,0,0,0,N,,,13:14.0,,,,
24,353166114,100,200,co2#1,1,16.6,252.7,14.4,0,0,1,1,,,-,0,0,0,N,,,13:14.5,,,,
25,353166116,100,200,co2#1,1,18.6,257.4,14.4,0,0,1,1,,,-,0,0,0,N,,,13:14.6,,,,
26,353166122,100,200,co2#1,1,18.6,260.4,14.4,0,0,1,1,,,-,0,0,0,N,,,13:15.1,,,,
27,353166130,100,200,co2#1,1,17.1,252,14.4,0,0,1,1,,,-,0,0,0,N,,,13:15.6,,,,
28,353166141,100,200,co2#1,1,17.3,251.6,14.4,0,0,1,1,,,-,0,0,0,N,,,13:16.1,,,,
29,353166152,100,200,co2#1,1,17.5,252.4,14.4,0,0,1,1,,,-,0,0,0,N,,,13:16.6,,,,
30,353166404,100,200,co2#1,1,16.3,175.3,12.5,0,0,1,1,,,-,0,0,0,N,,,13:36.5,,,,
31,353166406,100,200,co2#1,1,16.3,175.3,12.5,0,0,1,1,,,-,0,0,0,N,,,13:37.0,,,,
32,353166408,100,200,co2#1,1,16.3,175.3,12.5,0,0,1,1,,,-,0,0,0,N,,,13:37.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
34,353166414,100,200,co2#1,1,18.5,176.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:38.6,,,,
35,353166416,100,200,co2#1,1,18.5,176.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:39.1,,,,
36,353166419,100,200,co2#1,1,18.5,176.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:39.6,,,,
37,353166426,100,200,co2#1,1,36.1,208.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:40.6,,,,
38,353166428,100,200,co2#1,1,17.1,216.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:41.2,,,,
39,353166431,100,200,co2#1,1,17.1,216.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:41.7,,,,
40,353166435,100,200,co2#1,1,17,210.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:42.2,,,,
41,353166438,100,200,co2#1,1,16.9,232.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:42.7,,,,
42,353166439,100,200,co2#1,1,17.2,213.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:42.7,,,,
43,353166442,100,200,co2#1,1,17.4,210.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:43.2,,,,
44,353166446,100,200,co2#1,1,17.4,210.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:43.8,,,,
45,353166450,100,200,co2#1,1,17.4,210.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:44.3,,,,
46,353166458,100,200,co2#1,1,45.3,216.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:45.3,,,,
47,353166463,100,200,co2#1,1,45.3,216.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:45.8,,,,
48,353166467,100,200,co2#1,1,45.3,216.4,14.7,0,0,1,1,,,-,0,0,0,N,,,13:46.3,,,,
49,353166472,100,200,co2#1,1,17,252.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:46.9,,,,
50,353166473,100,200,co2#1,1,17.9,247.6,14.5,0,0,1,1,,,-,0,0,0,N,,,13:46.9,,,,
51,353166478,100,200,co2#1,1,17.5,252.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:47.4,,,,
52,353166482,100,200,co2#1,1,17.5,242.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:47.9,,,,
53,353166489,100,200,co2#1,1,17.5,246.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:48.4,,,,
54,353166492,100,200,co2#1,1,17.7,282.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:48.9,,,,
55,353166496,100,200,co2#1,1,17.9,253.1,14.5,0,0,1,1,,,-,0,0,0,N,,,13:49.5,,,,
56,353166497,100,200,co2#1,1,17.7,249.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:49.5,,,,
57,353166500,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:50.0,,,,
58,353166503,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:50.5,,,,
59,353166507,100,200,co2#1,1,17.3,248.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:51.0,,,,
60,353166509,100,200,co2#1,1,17.4,255.6,14.5,0,0,1,1,,,-,0,0,0,N,,,13:51.5,,,,
61,353166513,100,200,co2#1,1,17,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:52.1,,,,
62,353166516,100,200,co2#1,1,16.9,246.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:52.6,,,,
63,353166519,100,200,co2#1,1,17,252.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.1,,,,
64,353166520,100,200,co2#1,1,17,256,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.1,,,,
65,353166525,100,200,co2#1,1,17,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:53.6,,,,
66,353166528,100,200,co2#1,1,16.9,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,13:54.1,,,,
67,353166530,100,200,co2#1,1,16.9,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:54.7,,,,
68,353166535,100,200,co2#1,1,16.8,250.5,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.2,,,,
69,353166538,100,200,co2#1,1,16.6,253.4,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.7,,,,
70,353166539,100,200,co2#1,1,16.8,248.7,14.5,0,0,1,1,,,-,0,0,0,N,,,13:55.7,,,,
71,353166540,100,200,co2#1,1,17,290.9,14.5,0,0,1,1,,,-,0,0,0,N,,,13:56.2,,,,
72,353166565,100,200,co2#1,1,41.4,183.6,14.7,0,0,1,1,,,-,0,0,0,N,,,14:00.8,,,,
73,353166572,100,200,co2#1,1,41.4,183.6,14.7,0,0,1,1,,,-,0,0,0,N,,,14:01.3,,,,
74,353166597,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:02.9,,,,
75,353166605,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.4,,,,
76,353166616,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.9,,,,
77,353166617,100,200,co2#1,1,44.6,184,14.6,0,0,1,1,,,-,0,0,0,N,,,14:03.9,,,,
78,353166634,100,200,co2#1,1,33.3,218.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:04.9,,,,
79,353166641,100,200,co2#1,1,17.9,213.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:05.5,,,,
80,353166650,100,200,co2#1,1,17.9,213.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:06.0,,,,
81,353166651,100,200,co2#1,1,18.1,201.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:06.0,,,,
82,353166658,100,200,co2#1,1,18.3,218.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:06.5,,,,
83,353166671,100,200,co2#1,1,18.3,210.2,14.4,0,0,1,1,,,-,0,0,0,N,,,14:07.0,,,,
84,353166679,100,200,co2#1,1,18.2,193.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:07.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
86,353166706,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:09.6,,,,
87,353166712,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.1,,,,
88,353166718,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.6,,,,
89,353166720,100,200,co2#1,1,30.1,205.4,14.7,0,0,1,1,,,-,0,0,0,N,,,14:10.6,,,,
90,353166727,100,200,co2#1,1,17.4,247.6,14.5,0,0,1,1,,,-,0,0,0,N,,,14:11.2,,,,
91,353166736,100,200,co2#1,1,18.7,238.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:11.7,,,,
92,353166743,100,200,co2#1,1,18.5,248.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.2,,,,
93,353166751,100,200,co2#1,1,18.5,246.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.7,,,,
94,353166752,100,200,co2#1,1,17.7,256.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:12.7,,,,
95,353166763,100,200,co2#1,1,17.5,248.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:13.2,,,,
96,353166775,100,200,co2#1,1,18.8,268.7,14.4,0,0,1,1,,,-,0,0,0,N,,,14:13.8,,,,
97,353166781,100,200,co2#1,1,18.3,249.8,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.3,,,,
98,353166790,100,200,co2#1,1,18.7,245.8,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.8,,,,
99,353166791,100,200,co2#1,1,18.5,247.6,14.3,0,0,1,1,,,-,0,0,0,N,,,14:14.8,,,,
100,353166799,100,200,co2#1,1,18.5,252,14.4,0,0,1,1,,,-,0,0,0,N,,,14:15.3,,,,
101,353166823,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:16.9,,,,
102,353166824,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:16.9,,,,
103,353166832,100,200,co2#1,1,18.2,270.2,14.3,0,0,1,1,,,-,0,0,0,N,,,14:17.4,,,,
104,353166842,100,200,co2#1,1,18.4,261.1,14.3,0,0,1,1,,,-,0,0,0,N,,,14:17.9,,,,
105,353166851,100,200,co2#1,1,18,254.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.4,,,,
106,353166858,100,200,co2#1,1,18.1,254.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.9,,,,
107,353166859,100,200,co2#1,1,18.2,250.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:18.9,,,,
108,353166867,100,200,co2#1,1,18.3,255.6,14.4,0,0,1,1,,,-,0,0,0,N,,,14:19.5,,,,
109,353166882,100,200,co2#1,1,18,264.4,14.3,0,0,1,1,,,-,0,0,0,N,,,14:20.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
111,353166928,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.1,,,,
112,353166929,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.2,,,,
113,353166940,100,200,co2#1,1,23.8,164.4,14.2,0,0,1,1,,,-,0,0,0,N,,,14:25.7,,,,
114,353166957,100,200,co2#1,1,51.2,140.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:26.7,,,,
115,353166968,100,200,co2#1,1,24.9,141.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:27.2,,,,
116,353166975,100,200,co2#1,1,24.9,141.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:27.7,,,,
117,353167008,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.3,,,,
118,353167018,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.8,,,,
119,353167019,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:29.8,,,,
120,353167027,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:30.3,,,,
121,353167038,100,200,co2#1,1,35.1,192,14.6,0,0,1,1,,,-,0,0,0,N,,,14:30.8,,,,
122,353167052,100,200,co2#1,1,17.3,212.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.3,,,,
123,353167053,100,200,co2#1,1,17.6,209.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.4,,,,
124,353167064,100,200,co2#1,1,17.8,99.6,14.4,0,0,1,1,,,-,0,0,0,N,,,14:31.9,,,,
125,353167110,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:33.9,,,,
126,353167111,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:34.0,,,,
127,353167123,100,200,co2#1,1,42.3,196.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:34.5,,,,
128,353167132,100,200,co2#1,1,17.1,247.6,14.5,0,0,1,1,,,-,0,0,0,N,,,14:35.0,,,,
129,353167145,100,200,co2#1,1,17.4,245.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:35.5,,,,
130,353167146,100,200,co2#1,1,17.6,246.2,14.4,0,0,1,1,,,-,0,0,0,N,,,14:35.5,,,,
131,353167155,100,200,co2#1,1,18.1,249.4,14.4,0,0,1,1,,,-,0,0,0,N,,,14:36.0,,,,
132,353167162,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:36.5,,,,
133,353167169,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.1,,,,
134,353167178,100,200,co2#1,1,18,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.6,,,,
135,353167179,100,200,co2#1,1,18.2,246.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:37.6,,,,
136,353167186,100,200,co2#1,1,18.2,250.9,14.4,0,0,1,1,,,-,0,0,0,N,,,14:38.1,,,,
137,353167193,100,200,co2#1,1,18.1,251.3,14.4,0,0,1,1,,,-,0,0,0,N,,,14:38.6,,,,
138,353167200,100,200,co2#1,1,18,245.8,14.5,0,0,1,1,,,-,0,0,0,N,,,14:39.1,,,,
139,353167207,100,200,co2#1,1,18.4,253.1,14.5,0,0,1,1,,,-,0,0,0,N,,,14:39.7,,,,
140,353167208,100,200,co2#1,1,18.2,245.1,14.4,0,0,1,1,,,-,0,0,0,N,,,14:39.7,,,,
141,353167215,100,200,co2#1,1,18.3,246.5,14.5,0,0,1,1,,,-,0,0,0,N,,,14:40.2,,,,
142,353167220,100,200,co2#1,1,18.1,255.3,14.4,0,0,1,1,,,-,0,0,0,N,,,14:40.7,,,,
143,353167224,100,200,co2#1,1,18.2,258.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:41.2,,,,
144,353167227,100,200,co2#1,1,18.1,256.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:41.7,,,,
145,353167228,100,200,co2#1,1,18,254.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:41.7,,,,
146,353167230,100,200,co2#1,1,17.9,256.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:42.2,,,,
147,353167233,100,200,co2#1,1,17.7,252,14.5,0,0,1,1,,,-,0,0,0,N,,,14:42.8,,,,
148,353167239,100,200,co2#1,1,17.7,250.2,14.5,0,0,1,1,,,-,0,0,0,N,,,14:43.3,,,,
